state,district,year,season,crop,area_ha,production_t,yield_t_ha
Andhra Pradesh,KADAPA,2004,Rabi,Rice,5689.0,11424.0,2.0081
Andhra Pradesh,KADAPA,2005,Kharif,Rice,45556.0,85828.0,1.884
Andhra Pradesh,KADAPA,2005,Rabi,Rice,21197.0,55791.0,2.632
Andhra Pradesh,KADAPA,2006,Kharif,Rice,41908.0,114493.0,2.732
Andhra Pradesh,KADAPA,2006,Rabi,Rice,4997.0,10963.0,2.1939
Andhra Pradesh,KADAPA,2007,Kharif,Rice,45000.0,139000.0,3.0889
Andhra Pradesh,KADAPA,2007,Rabi,Rice,17000.0,45000.0,2.6471
Andhra Pradesh,KADAPA,2008,Kharif,Rice,50183.0,87168.0,1.737
Andhra Pradesh,KADAPA,2008,Rabi,Rice,14883.0,41271.0,2.773
Andhra Pradesh,KADAPA,2009,Kharif,Rice,52423.0,153757.0,2.933
Andhra Pradesh,KADAPA,2009,Rabi,Rice,12894.0,34169.0,2.65
Andhra Pradesh,KADAPA,2010,Kharif,Rice,53345.0,80657.0,1.512
Andhra Pradesh,KADAPA,2010,Rabi,Rice,17037.0,48896.0,2.87
Andhra Pradesh,KADAPA,2011,Kharif,Rice,47290.0,141161.0,2.985
Andhra Pradesh,KADAPA,2011,Rabi,Rice,6606.0,17499.0,2.649
Andhra Pradesh,KADAPA,2012,Kharif,Rice,24147.0,61551.0,2.549
Andhra Pradesh,KADAPA,2012,Rabi,Rice,6601.0,19249.0,2.9161
Andhra Pradesh,KADAPA,2013,Kharif,Rice,51753.0,148842.0,2.876
Andhra Pradesh,KADAPA,2013,Rabi,Rice,10959.0,29447.0,2.687
Andhra Pradesh,KADAPA,2014,Kharif,Rice,42124.0,155648.0,3.695
Andhra Pradesh,KADAPA,2014,Rabi,Rice,3761.0,10189.0,2.7091
Andhra Pradesh,KADAPA,2014,Whole Year,Rice,45885.0,165837.0,3.6142
Andhra Pradesh,KRISHNA,1997,Kharif,Rice,257900.0,699400.0,2.7119
Andhra Pradesh,KRISHNA,1997,Rabi,Rice,116300.0,393500.0,3.3835
Andhra Pradesh,KRISHNA,1998,Kharif,Rice,280800.0,759900.0,2.7062
Andhra Pradesh,KRISHNA,1998,Rabi,Rice,134500.0,491200.0,3.652
Andhra Pradesh,KRISHNA,1999,Kharif,Rice,278415.0,834490.0,2.9973
Andhra Pradesh,KRISHNA,1999,Rabi,Rice,127888.0,457596.0,3.5781
Andhra Pradesh,KRISHNA,2000,Kharif,Rice,281343.0,868787.0,3.088
Andhra Pradesh,KRISHNA,2000,Rabi,Rice,112917.0,408308.0,3.616
Andhra Pradesh,KRISHNA,2001,Kharif,Rice,245114.0,714507.0,2.915
Andhra Pradesh,KRISHNA,2001,Rabi,Rice,98472.0,358635.0,3.642
Andhra Pradesh,KRISHNA,2002,Kharif,Rice,243910.0,761243.0,3.121
Andhra Pradesh,KRISHNA,2002,Rabi,Rice,2185.0,5688.0,2.6032
Andhra Pradesh,KRISHNA,2003,Kharif,Rice,222367.0,526565.0,2.368
Andhra Pradesh,KRISHNA,2003,Rabi,Rice,7486.0,19359.0,2.586
Andhra Pradesh,KRISHNA,2004,Kharif,Rice,245306.0,804849.0,3.281
Andhra Pradesh,KRISHNA,2004,Rabi,Rice,10017.0,31584.0,3.153
Andhra Pradesh,KRISHNA,2005,Kharif,Rice,254919.0,697203.0,2.735
Andhra Pradesh,KRISHNA,2005,Rabi,Rice,104332.0,409399.0,3.924
Andhra Pradesh,KRISHNA,2006,Kharif,Rice,251433.0,521221.0,2.073
Andhra Pradesh,KRISHNA,2006,Rabi,Rice,94862.0,355638.0,3.749
